order_id,customer,state,city,order_date,total_units,revenue,product_name,category_name,brand_name,store_name,sales_rep
1476,"Guillermina Noble",NY,Baldwinsville,2018-03-31,1,2799.99,"Electra Loft Go! 8i - 2018","Electric Bikes",Electra,"Baldwin Bikes","Venita Daniel"
1585,"Carola Rodriquez",CA,Banning,2018-04-26,1,2799.99,"Electra Loft Go! 8i - 2018","Electric Bikes",Electra,"Santa Cruz Bikes","Genna Serrano"
1611,"Lyndsey Bean",NY,Fairport,2018-09-06,1,2799.99,"Electra Loft Go! 8i - 2018","Electric Bikes",Electra,"Baldwin Bikes","Venita Daniel"
1356,"Santa Larson",NY,"Valley Stream",2018-01-19,1,2599.99,"Electra Townie Go! 8i - 2017/2018","Electric Bikes",Electra,"Baldwin Bikes","Marcelene Boyer"
1434,"Frederica Rojas",NY,Ithaca,2018-03-14,1,2999.99,"Electra Townie Commute Go! - 2018","Electric Bikes",Electra,"Baldwin Bikes","Marcelene Boyer"
1487,"Deloris Burke",CA,"Palos Verdes Peninsula",2018-04-03,1,2999.99,"Electra Townie Commute Go! - 2018","Electric Bikes",Electra,"Santa Cruz Bikes","Genna Serrano"
1489,"Dorine Roberson",CA,"Santa Cruz",2018-04-03,1,2999.99,"Electra Townie Commute Go! - 2018","Electric Bikes",Electra,"Santa Cruz Bikes","Genna Serrano"
1497,"Williemae Holloway",CA,Oakland,2018-04-06,2,5999.98,"Electra Townie Commute Go! - 2018","Electric Bikes",Electra,"Santa Cruz Bikes","Mireya Copeland"
1572,"Garry Espinoza",TX,Forney,2018-04-22,1,2999.99,"Electra Townie Commute Go! - 2018","Electric Bikes",Electra,"Rowlett Bikes","Layla Terrell"
1356,"Santa Larson",NY,"Valley Stream",2018-01-19,2,5999.98,"Electra Townie Commute Go! Ladies' - 2018","Electric Bikes",Electra,"Baldwin Bikes","Marcelene Boyer"
6,"Sharyn Hopkins",NY,Baldwinsville,2016-01-04,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
